UDI,Product ID,Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,diff,Type_H,Type_L,Type_M
1744,M16603,1713,25.8,154,False,False,False,False,False,False,0,False,False,True
1745,M16604,1461,51.9,157,False,False,False,False,False,False,0,False,False,True
1746,L48925,1624,29.8,160,False,False,False,False,False,False,0,False,True,False
1747,L48926,1526,41.1,162,False,False,False,False,False,False,0,False,True,False
1748,L48927,2381,14.2,164,False,False,False,False,False,False,0,False,True,False
1750,L48929,1576,33.8,171,False,False,False,False,False,False,0,False,True,False
1751,M16610,1617,31.6,173,False,False,False,False,False,False,0,False,False,True
1752,L48931,1942,20.6,176,False,False,False,False,False,False,0,False,True,False
1753,L48932,1492,37.2,178,False,False,False,False,False,False,0,False,True,False
1754,L48933,1470,51.3,180,False,False,False,False,False,False,0,False,True,False
1755,M16614,1463,46.5,182,False,False,False,False,False,False,0,False,False,True
1756,L48935,1424,46.5,185,False,False,False,False,False,False,0,False,True,False
1757,M16616,1363,60.1,187,False,False,False,False,False,False,0,False,False,True
1758,M16617,1335,56.2,190,False,False,False,False,False,False,0,False,False,True
1759,L48938,1608,33.9,193,False,False,False,False,False,False,0,False,True,False
1760,H31173,1606,35.2,195,False,False,False,False,False,False,0,True,False,False
1761,L48940,1684,33.1,200,False,False,False,False,False,False,0,False,True,False
1762,L48941,1950,20.3,202,False,False,False,False,False,False,0,False,True,False
1763,H31176,1460,48.6,204,False,False,False,False,False,False,0,True,False,False
1765,H31178,1318,55.7,0,False,False,False,False,False,False,0,True,False,False
1766,L48945,1368,51.8,5,False,False,False,False,False,False,0,False,True,False
1767,M16626,1717,27.1,7,False,False,False,False,False,False,0,False,False,True
1768,M16627,1520,41.4,10,False,False,False,False,False,False,0,False,False,True
1769,M16628,1485,42.0,13,False,False,False,False,False,False,0,False,False,True
1770,L48949,1981,23.2,16,False,False,False,False,False,False,0,False,True,False
1771,H31184,1605,31.0,18,False,False,False,False,False,False,0,True,False,False
1772,L48951,1446,45.3,23,False,False,False,False,False,False,0,False,True,False
1773,L48952,1508,47.9,25,False,False,False,False,False,False,0,False,True,False
1774,L48953,1384,59.5,27,False,False,False,False,False,False,0,False,True,False
1775,M16634,1519,37.3,29,False,False,False,False,False,False,0,False,False,True
1776,L48955,1404,48.1,32,False,False,False,False,False,False,0,False,True,False
1777,L48956,1564,31.1,34,False,False,False,False,False,False,0,False,True,False
1778,H31191,1555,36.8,36,False,False,False,False,False,False,0,True,False,False
1779,L48958,1325,54.0,41,False,False,False,False,False,False,0,False,True,False
1780,M16639,1488,44.0,43,False,False,False,False,False,False,0,False,False,True
1781,L48960,1595,32.3,46,False,False,False,False,False,False,0,False,True,False
1782,L48961,1662,28.6,48,False,False,False,False,False,False,0,False,True,False
1783,L48962,1571,37.4,50,False,False,False,False,False,False,0,False,True,False
1784,H31197,1553,41.0,52,False,False,False,False,False,False,0,True,False,False
1786,L48965,1538,38.2,59,False,False,False,False,False,False,0,False,True,False
1787,L48966,1618,33.0,61,False,False,False,False,False,False,0,False,True,False
1788,L48967,1364,45.9,63,False,False,False,False,False,False,0,False,True,False
1789,L48968,1442,47.3,65,False,False,False,False,False,False,0,False,True,False
1791,L48970,1847,23.6,69,False,False,False,False,False,False,0,False,True,False
1792,L48971,1524,40.8,71,False,False,False,False,False,False,0,False,True,False
1793,M16652,1445,48.0,73,False,False,False,False,False,False,0,False,False,True
1794,L48973,1761,28.2,76,False,False,False,False,False,False,0,False,True,False
1795,M16654,1514,43.5,78,False,False,False,False,False,False,0,False,False,True
1796,M16655,1498,38.3,81,False,False,False,False,False,False,0,False,False,True
1797,H31210,1542,37.1,84,False,False,False,False,False,False,0,True,False,False
1798,M16657,1508,41.8,89,False,False,False,False,False,False,0,False,False,True
1799,M16658,1431,52.9,92,False,False,False,False,False,False,0,False,False,True
1800,M16659,1427,45.1,95,False,False,False,False,False,False,0,False,False,True
1801,M16660,1524,36.3,98,False,False,False,False,False,False,0,False,False,True
1802,M16661,1427,43.6,101,False,False,False,False,False,False,0,False,False,True
1803,H31216,1496,44.1,104,False,False,False,False,False,False,0,True,False,False
1804,L48983,1388,40.3,109,False,False,False,False,False,False,0,False,True,False
1805,L48984,1495,48.1,111,False,False,False,False,False,False,0,False,True,False
1806,H31219,1376,56.2,113,False,False,False,False,False,False,0,True,False,False
1807,H31220,1593,32.2,118,False,False,False,False,False,False,0,True,False,False
1808,L48987,1654,28.9,123,False,False,False,False,False,False,0,False,True,False
1810,L48989,1767,27.0,127,False,False,False,False,False,False,0,False,True,False
1811,L48990,1364,53.8,129,False,False,False,False,False,False,0,False,True,False
1812,M16671,1569,31.2,131,False,False,False,False,False,False,0,False,False,True
1813,L48992,1476,36.8,134,False,False,False,False,False,False,0,False,True,False
1814,L48993,1479,45.0,136,False,False,False,False,False,False,0,False,True,False
1815,L48994,1650,34.1,138,False,False,False,False,False,False,0,False,True,False
1816,M16675,1565,36.3,140,False,False,False,False,False,False,0,False,False,True
1817,L48996,1460,46.5,143,False,False,False,False,False,False,0,False,True,False
1818,L48997,1664,27.6,145,False,False,False,False,False,False,0,False,True,False
1819,M16678,1435,40.9,147,False,False,False,False,False,False,0,False,False,True
1820,M16679,2066,19.2,150,False,False,False,False,False,False,0,False,False,True
1821,L49000,1493,43.7,153,False,False,False,False,False,False,0,False,True,False
1822,L49001,1354,43.3,155,False,False,False,False,False,False,0,False,True,False
1823,L49002,1488,39.4,157,False,False,False,False,False,False,0,False,True,False
1824,L49003,1414,48.7,159,False,False,False,False,False,False,0,False,True,False
1825,L49004,1391,57.4,161,False,False,False,False,False,False,0,False,True,False
1826,M16685,1784,27.8,163,False,False,False,False,False,False,0,False,False,True
1827,H31240,1516,40.1,166,False,False,False,False,False,False,0,True,False,False
1828,M16687,1420,47.8,171,False,False,False,False,False,False,0,False,False,True
1829,L49008,1351,56.3,174,False,False,False,False,False,False,0,False,True,False
1830,L49009,1880,23.0,176,False,False,False,False,False,False,0,False,True,False
1831,L49010,1859,24.0,178,False,False,False,False,False,False,0,False,True,False
1832,M16691,1315,54.0,180,False,False,False,False,False,False,0,False,False,True
1833,M16692,1330,51.7,183,False,False,False,False,False,False,0,False,False,True
1835,L49014,1498,38.1,188,False,False,False,False,False,False,0,False,True,False
1836,H31249,1555,35.8,190,False,False,False,False,False,False,0,True,False,False
1837,L49016,1518,35.8,195,False,False,False,False,False,False,0,False,True,False
1838,L49017,1392,43.0,197,False,False,False,False,False,False,0,False,True,False
1839,M16698,1456,39.6,199,False,False,False,False,False,False,0,False,False,True
1840,L49019,1715,30.2,0,False,False,False,False,False,False,0,False,True,False
1841,M16700,1405,43.7,2,False,False,False,False,False,False,0,False,False,True
1842,L49021,1668,37.8,5,False,False,False,False,False,False,0,False,True,False
1843,H31256,1855,22.5,7,False,False,False,False,False,False,0,True,False,False
1844,L49023,1496,39.2,12,False,False,False,False,False,False,0,False,True,False
1845,M16704,1471,44.9,14,False,False,False,False,False,False,0,False,False,True
1846,L49025,1444,40.0,17,False,False,False,False,False,False,0,False,True,False
1847,H31260,1514,38.6,19,False,False,False,False,False,False,0,True,False,False
1848,L49027,1412,50.7,24,False,False,False,False,False,False,0,False,True,False
1849,H31262,1429,44.1,26,False,False,False,False,False,False,0,True,False,False
1850,L49029,1668,32.7,31,False,False,False,False,False,False,0,False,True,False
1851,M16710,1372,52.8,33,False,False,False,False,False,False,0,False,False,True
1852,M16711,1365,49.2,36,False,False,False,False,False,False,0,False,False,True
1853,M16712,1526,39.1,39,False,False,False,False,False,False,0,False,False,True
1854,L49033,1486,40.6,42,False,False,False,False,False,False,0,False,True,False
1855,M16714,1470,42.6,44,False,False,False,False,False,False,0,False,False,True
1856,H31269,1249,62.8,47,False,False,False,False,False,False,0,True,False,False
1857,M16716,1752,26.1,52,False,False,False,False,False,False,0,False,False,True
1858,L49037,1643,36.5,55,False,False,False,False,False,False,0,False,True,False
1859,M16718,1488,36.1,57,False,False,False,False,False,False,0,False,False,True
1860,L49039,1355,45.8,60,False,False,False,False,False,False,0,False,True,False
1861,L49040,1607,30.3,62,False,False,False,False,False,False,0,False,True,False
1862,M16721,1609,30.3,64,False,False,False,False,False,False,0,False,False,True
1863,L49042,1517,44.4,67,False,False,False,False,False,False,0,False,True,False
1864,M16723,1517,39.5,69,False,False,False,False,False,False,0,False,False,True
1865,L49044,1546,37.6,72,False,False,False,False,False,False,0,False,True,False
1866,L49045,1567,34.7,74,False,False,False,False,False,False,0,False,True,False
1867,M16726,1662,28.9,76,False,False,False,False,False,False,0,False,False,True
1868,L49047,1502,41.8,79,False,False,False,False,False,False,0,False,True,False
1869,L49048,1361,56.9,81,False,False,False,False,False,False,0,False,True,False
1870,M16729,1630,32.7,83,False,False,False,False,False,False,0,False,False,True
1871,L49050,1486,42.3,86,False,False,False,False,False,False,0,False,True,False
1872,L49051,1840,21.5,88,False,False,False,False,False,False,0,False,True,False
1873,L49052,1326,58.4,90,False,False,False,False,False,False,0,False,True,False
1874,L49053,1367,57.8,92,False,False,False,False,False,False,0,False,True,False
1875,L49054,1598,32.7,94,False,False,False,False,False,False,0,False,True,False
1876,L49055,1363,50.1,96,False,False,False,False,False,False,0,False,True,False
1877,L49056,1242,62.0,98,False,False,False,False,False,False,0,False,True,False
1878,M16737,1566,33.8,100,False,False,False,False,False,False,0,False,False,True
1879,M16738,1424,47.7,103,False,False,False,False,False,False,0,False,False,True
1880,M16739,1608,33.8,106,False,False,False,False,False,False,0,False,False,True
1881,L49060,1705,29.1,109,False,False,False,False,False,False,0,False,True,False
1882,L49061,1548,45.8,111,False,False,False,False,False,False,0,False,True,False
1883,M16742,1581,43.4,113,False,False,False,False,False,False,0,False,False,True
1884,M16743,1472,46.7,116,False,False,False,False,False,False,0,False,False,True
1885,M16744,1792,26.0,119,False,False,False,False,False,False,0,False,False,True
1886,L49065,1683,32.8,122,False,False,False,False,False,False,0,False,True,False
1887,L49066,1503,40.7,124,False,False,False,False,False,False,0,False,True,False
1888,M16747,1642,32.4,126,False,False,False,False,False,False,0,False,False,True
1889,M16748,1902,24.3,129,False,False,False,False,False,False,0,False,False,True
1890,H31303,1432,40.2,132,False,False,False,False,False,False,0,True,False,False
1891,L49070,1512,40.8,137,False,False,False,False,False,False,0,False,True,False
1892,L49071,1764,29.0,139,False,False,False,False,False,False,0,False,True,False
1893,M16752,1438,43.6,141,False,False,False,False,False,False,0,False,False,True
1894,L49073,1631,29.9,144,False,False,False,False,False,False,0,False,True,False
1895,H31308,1880,23.3,146,False,False,False,False,False,False,0,True,False,False
1896,L49075,1344,54.3,151,False,False,False,False,False,False,0,False,True,False
1897,L49076,1574,35.8,153,False,False,False,False,False,False,0,False,True,False
1898,L49077,1418,41.2,155,False,False,False,False,False,False,0,False,True,False
1899,L49078,1372,54.1,157,False,False,False,False,False,False,0,False,True,False
1900,L49079,1388,40.0,159,False,False,False,False,False,False,0,False,True,False
1901,H31314,1493,36.0,161,False,False,False,False,False,False,0,True,False,False
1902,M16761,1505,40.1,166,False,False,False,False,False,False,0,False,False,True
1903,L49082,1694,29.1,169,False,False,False,False,False,False,0,False,True,False
1904,L49083,1968,20.4,171,False,False,False,False,False,False,0,False,True,False
1905,M16764,1569,35.6,173,False,False,False,False,False,False,0,False,False,True
1906,L49085,1687,29.1,176,False,False,False,False,False,False,0,False,True,False
1907,L49086,1430,52.4,178,False,False,False,False,False,False,0,False,True,False
1908,L49087,1504,42.4,180,False,False,False,False,False,False,0,False,True,False
1909,L49088,1977,20.2,182,False,False,False,False,False,False,0,False,True,False
1910,L49089,1435,45.6,184,False,False,False,False,False,False,0,False,True,False
1911,H31324,1547,36.8,186,False,False,False,False,False,False,0,True,False,False
1912,M16771,1316,57.2,191,False,False,False,False,False,False,0,False,False,True
1913,M16772,1621,34.9,194,False,False,False,False,False,False,0,False,False,True
1914,M16773,1492,40.2,197,False,False,False,False,False,False,0,False,False,True
1915,L49094,1643,32.3,200,False,False,False,False,False,False,0,False,True,False
1916,L49095,1492,38.7,202,False,False,False,False,False,False,0,False,True,False
1917,L49096,1387,50.8,204,False,False,False,False,False,False,0,False,True,False
1918,M16777,1463,47.3,206,False,False,False,False,False,False,0,False,False,True
1919,M16778,1496,40.0,0,False,False,False,False,False,False,0,False,False,True
1920,L49099,1658,30.0,3,False,False,False,False,False,False,0,False,True,False
1921,L49100,2161,17.5,5,False,False,False,False,False,False,0,False,True,False
1922,L49101,1665,32.0,7,False,False,False,False,False,False,0,False,True,False
1923,L49102,1716,26.6,9,False,False,False,False,False,False,0,False,True,False
1924,L49103,1529,34.1,11,False,False,False,False,False,False,0,False,True,False
1925,L49104,1353,50.7,13,False,False,False,False,False,False,0,False,True,False
1926,L49105,1537,37.7,15,False,False,False,False,False,False,0,False,True,False
1927,L49106,1606,30.8,17,False,False,False,False,False,False,0,False,True,False
1928,H31341,1314,47.8,19,False,False,False,False,False,False,0,True,False,False
1929,L49108,1623,29.9,24,False,False,False,False,False,False,0,False,True,False
1930,M16789,1483,50.9,26,False,False,False,False,False,False,0,False,False,True
1931,M16790,1569,37.0,29,False,False,False,False,False,False,0,False,False,True
1932,M16791,1969,21.7,32,False,False,False,False,False,False,0,False,False,True
1933,M16792,1686,29.3,35,False,False,False,False,False,False,0,False,False,True
1934,L49113,1638,35.1,38,False,False,False,False,False,False,0,False,True,False
1935,L49114,1698,33.3,40,False,False,False,False,False,False,0,False,True,False
1936,M16795,1377,55.1,42,False,False,False,False,False,False,0,False,False,True
1937,M16796,2129,18.4,45,False,False,False,False,False,False,0,False,False,True
1938,L49117,1411,42.4,48,False,False,False,False,False,False,0,False,True,False
1939,L49118,1517,40.8,50,False,False,False,False,False,False,0,False,True,False
1940,M16799,1303,53.9,52,False,False,False,False,False,False,0,False,False,True
1941,L49120,1578,35.6,55,False,False,False,False,False,False,0,False,True,False
1942,L49121,1425,58.2,57,False,False,False,False,False,False,0,False,True,False
1943,L49122,1456,42.4,59,False,False,False,False,False,False,0,False,True,False
1944,L49123,1704,30.9,61,False,False,False,False,False,False,0,False,True,False
1945,L49124,1791,27.3,63,False,False,False,False,False,False,0,False,True,False
1946,L49125,1616,32.8,65,False,False,False,False,False,False,0,False,True,False
1947,L49126,1622,34.9,67,False,False,False,False,False,False,0,False,True,False
1948,L49127,1462,49.9,69,False,False,False,False,False,False,0,False,True,False
1949,L49128,1410,45.8,71,False,False,False,False,False,False,0,False,True,False
1950,M16809,1543,41.9,73,False,False,False,False,False,False,0,False,False,True
1951,M16810,1479,47.6,76,False,False,False,False,False,False,0,False,False,True
1952,L49131,1839,22.7,79,False,False,False,False,False,False,0,False,True,False
1953,L49132,1266,60.5,81,False,False,False,False,False,False,0,False,True,False
1954,L49133,1593,34.9,83,False,False,False,False,False,False,0,False,True,False
1955,L49134,1459,46.9,85,False,False,False,False,False,False,0,False,True,False
1956,L49135,1308,55.2,87,False,False,False,False,False,False,0,False,True,False
1957,M16816,1364,46.8,89,False,False,False,False,False,False,0,False,False,True
1958,H31371,1618,35.9,92,False,False,False,False,False,False,0,True,False,False
1959,H31372,1464,43.2,97,False,False,False,False,False,False,0,True,False,False
1960,M16819,1352,49.4,102,False,False,False,False,False,False,0,False,False,True
1961,L49140,1446,51.4,105,False,False,False,False,False,False,0,False,True,False
1962,L49141,1448,51.2,107,False,False,False,False,False,False,0,False,True,False
1963,L49142,1391,48.6,109,False,False,False,False,False,False,0,False,True,False
1964,L49143,1379,43.3,111,False,False,False,False,False,False,0,False,True,False
1965,M16824,1405,46.9,113,False,False,False,False,False,False,0,False,False,True
1966,L49145,1581,33.1,116,False,False,False,False,False,False,0,False,True,False
1967,L49146,1515,40.5,118,False,False,False,False,False,False,0,False,True,False
1968,L49147,1589,37.8,120,False,False,False,False,False,False,0,False,True,False
1969,L49148,1281,50.8,122,False,False,False,False,False,False,0,False,True,False
1970,H31383,1631,31.3,124,False,False,False,False,False,False,0,True,False,False
1971,M16830,1202,67.0,129,False,False,False,False,False,False,0,False,False,True
1972,L49151,1298,52.7,132,False,False,False,False,False,False,0,False,True,False
1973,L49152,1612,30.7,134,False,False,False,False,False,False,0,False,True,False
1974,L49153,1747,25.3,136,False,False,False,False,False,False,0,False,True,False
1975,L49154,1450,48.7,138,False,False,False,False,False,False,0,False,True,False
1976,L49155,1422,45.6,140,False,False,False,False,False,False,0,False,True,False
1977,M16836,1419,47.4,142,False,False,False,False,False,False,0,False,False,True
1978,M16837,1633,30.7,145,False,False,False,False,False,False,0,False,False,True
1979,L49158,1442,43.6,148,False,False,False,False,False,False,0,False,True,False
1980,H31393,1420,45.8,150,False,False,False,False,False,False,0,True,False,False
1981,M16840,1301,58.5,155,False,False,False,False,False,False,0,False,False,True
1982,L49161,1385,45.0,158,False,False,False,False,False,False,0,False,True,False
1983,M16842,1487,41.3,160,False,False,False,False,False,False,0,False,False,True
1984,M16843,1459,44.4,163,False,False,False,False,False,False,0,False,False,True
1985,M16844,1387,45.5,166,False,False,False,False,False,False,0,False,False,True
1986,L49165,1537,40.8,169,False,False,False,False,False,False,0,False,True,False
1987,L49166,1498,42.9,171,False,False,False,False,False,False,0,False,True,False
1988,M16847,1599,31.2,173,False,False,False,False,False,False,0,False,False,True
1989,H31402,1420,39.2,176,False,False,False,False,False,False,0,True,False,False
1990,L49169,1785,23.4,181,False,False,False,False,False,False,0,False,True,False
1991,L49170,1423,48.1,183,False,False,False,False,False,False,0,False,True,False
1992,M16851,1583,36.6,185,False,False,False,False,False,False,0,False,False,True
1993,L49172,1375,46.6,188,False,False,False,False,False,False,0,False,True,False
1994,M16853,1463,42.5,190,False,False,False,False,False,False,0,False,False,True
1995,M16854,1403,45.1,193,False,False,False,False,False,False,0,False,False,True
1996,L49175,1451,47.1,196,False,False,False,False,False,False,0,False,True,False
1998,L49177,1672,41.3,0,False,False,False,False,False,False,0,False,True,False
1999,H31412,1637,30.8,2,False,False,False,False,False,False,0,True,False,False
2000,L49179,1540,37.8,7,False,False,False,False,False,False,0,False,True,False
2001,L49180,1279,53.1,9,False,False,False,False,False,False,0,False,True,False
2002,L49181,1604,34.9,11,False,False,False,False,False,False,0,False,True,False
2003,L49182,1654,27.1,13,False,False,False,False,False,False,0,False,True,False
2004,M16863,1564,37.5,15,False,False,False,False,False,False,0,False,False,True
2005,L49184,1451,47.5,18,False,False,False,False,False,False,0,False,True,False
2006,L49185,1504,38.0,20,False,False,False,False,False,False,0,False,True,False
2007,M16866,1381,50.5,22,False,False,False,False,False,False,0,False,False,True
2008,L49187,1562,34.4,25,False,False,False,False,False,False,0,False,True,False
2009,L49188,1811,24.7,27,False,False,False,False,False,False,0,False,True,False
2010,M16869,1717,28.7,29,False,False,False,False,False,False,0,False,False,True
2011,L49190,1278,60.5,32,False,False,False,False,False,False,0,False,True,False
2012,L49191,1616,30.2,34,False,False,False,False,False,False,0,False,True,False
2013,L49192,1397,46.4,36,False,False,False,False,False,False,0,False,True,False
2014,L49193,1485,42.9,38,False,False,False,False,False,False,0,False,True,False
2015,L49194,1310,59.7,40,False,False,False,False,False,False,0,False,True,False
2017,L49196,1458,44.0,44,False,False,False,False,False,False,0,False,True,False
2018,L49197,1483,42.5,46,False,False,False,False,False,False,0,False,True,False
2019,L49198,1375,46.4,48,False,False,False,False,False,False,0,False,True,False
2020,M16879,1660,27.0,50,False,False,False,False,False,False,0,False,False,True
2021,H31434,1560,33.3,53,False,False,False,False,False,False,0,True,False,False
2022,L49201,1480,42.2,58,False,False,False,False,False,False,0,False,True,False
2023,L49202,1373,46.9,60,False,False,False,False,False,False,0,False,True,False
2024,L49203,1444,54.2,62,False,False,False,False,False,False,0,False,True,False
2025,M16884,1722,24.7,64,False,False,False,False,False,False,0,False,False,True
2026,L49205,1469,39.9,67,False,False,False,False,False,False,0,False,True,False
2027,M16886,1360,52.9,69,False,False,False,False,False,False,0,False,False,True
2028,L49207,1750,25.8,72,False,False,False,False,False,False,0,False,True,False
2029,M16888,1349,46.6,74,False,False,False,False,False,False,0,False,False,True
2030,L49209,1668,35.2,77,False,False,False,False,False,False,0,False,True,False
2031,L49210,1400,49.5,79,False,False,False,False,False,False,0,False,True,False
2032,L49211,1331,62.8,81,False,False,False,False,False,False,0,False,True,False
2033,L49212,1444,42.2,83,False,False,False,False,False,False,0,False,True,False
2034,H31447,1359,47.6,85,False,False,False,False,False,False,0,True,False,False
2035,M16894,1425,47.4,90,False,False,False,False,False,False,0,False,False,True
2036,M16895,1469,34.2,93,False,False,False,False,False,False,0,False,False,True
2037,L49216,1892,22.8,96,False,False,False,False,False,False,0,False,True,False
2038,H31451,1940,19.9,98,False,False,False,False,False,False,0,True,False,False
2039,L49218,1405,55.2,103,False,False,False,False,False,False,0,False,True,False
2040,M16899,1449,39.6,105,False,False,False,False,False,False,0,False,False,True
2041,L49220,1686,29.6,108,False,False,False,False,False,False,0,False,True,False
2042,L49221,1680,27.2,110,False,False,False,False,False,False,0,False,True,False
2043,M16902,1397,52.4,112,False,False,False,False,False,False,0,False,False,True
2044,M16903,1597,30.3,115,False,False,False,False,False,False,0,False,False,True
2045,L49224,1470,41.1,118,False,False,False,False,False,False,0,False,True,False
2046,M16905,1703,31.3,120,False,False,False,False,False,False,0,False,False,True
2047,L49226,1388,45.5,123,False,False,False,False,False,False,0,False,True,False
2048,L49227,1775,24.2,125,False,False,False,False,False,False,0,False,True,False
2049,L49228,1465,41.5,127,False,False,False,False,False,False,0,False,True,False
2050,M16909,1586,37.9,129,False,False,False,False,False,False,0,False,False,True
2051,M16910,1675,29.2,132,False,False,False,False,False,False,0,False,False,True
2052,M16911,1470,44.4,135,False,False,False,False,False,False,0,False,False,True
2053,L49232,1477,40.4,138,False,False,False,False,False,False,0,False,True,False
2054,L49233,1382,61.0,140,False,False,False,False,False,False,0,False,True,False
2055,M16914,1605,29.8,142,False,False,False,False,False,False,0,False,False,True
2056,L49235,1643,32.9,145,False,False,False,False,False,False,0,False,True,False
2057,L49236,1333,54.1,147,False,False,False,False,False,False,0,False,True,False
2058,L49237,1520,42.3,149,False,False,False,False,False,False,0,False,True,False
2059,M16918,1902,24.0,151,False,False,False,False,False,False,0,False,False,True
2060,H31473,1386,44.4,154,False,False,False,False,False,False,0,True,False,False
2061,L49240,1803,27.7,159,False,False,False,False,False,False,0,False,True,False
2062,L49241,1359,50.7,161,False,False,False,False,False,False,0,False,True,False
2063,M16922,1477,42.7,163,False,False,False,False,False,False,0,False,False,True
2064,L49243,1321,53.4,166,False,False,False,False,False,False,0,False,True,False
2065,L49244,1453,41.4,168,False,False,False,False,False,False,0,False,True,False
2066,L49245,1419,45.1,170,False,False,False,False,False,False,0,False,True,False
2067,L49246,1512,36.2,172,False,False,False,False,False,False,0,False,True,False
2068,L49247,1553,36.8,174,False,False,False,False,False,False,0,False,True,False
2069,M16928,1534,39.1,176,False,False,False,False,False,False,0,False,False,True
2070,H31483,1553,41.0,179,False,False,False,False,False,False,0,True,False,False
2071,L49250,1352,49.7,184,False,False,False,False,False,False,0,False,True,False
2072,M16931,1313,60.0,186,False,False,False,False,False,False,0,False,False,True
2074,L49253,1677,31.1,191,False,False,False,False,False,False,0,False,True,False
2075,L49254,1602,31.5,193,False,False,False,False,False,False,0,False,True,False
2077,L49256,1544,36.0,197,False,False,False,False,False,False,0,False,True,False
2078,L49257,1701,31.2,199,False,False,False,False,False,False,0,False,True,False
2079,M16938,1692,28.4,201,False,False,False,False,False,False,0,False,False,True
2080,M16939,1523,37.9,204,False,False,False,False,False,False,0,False,False,True
2081,L49260,2280,15.4,207,False,False,False,False,False,False,0,False,True,False
2082,M16941,1485,47.1,209,False,False,False,False,False,False,0,False,False,True
2083,H31496,1513,36.1,212,False,False,False,False,False,False,0,True,False,False
2084,H31497,1743,28.2,0,False,False,False,False,False,False,0,True,False,False
2085,L49264,1442,46.2,5,False,False,False,False,False,False,0,False,True,False
2086,L49265,1462,46.7,7,False,False,False,False,False,False,0,False,True,False
2087,H31500,1439,49.7,9,False,False,False,False,False,False,0,True,False,False
2088,L49267,1577,36.6,14,False,False,False,False,False,False,0,False,True,False
2089,L49268,1331,46.4,16,False,False,False,False,False,False,0,False,True,False
2090,L49269,1941,22.5,18,False,False,False,False,False,False,0,False,True,False
2091,L49270,1393,47.3,20,False,False,False,False,False,False,0,False,True,False
2092,L49271,1433,42.1,22,False,False,False,False,False,False,0,False,True,False
2093,L49272,1444,48.2,24,False,False,False,False,False,False,0,False,True,False
2094,L49273,1564,39.0,26,False,False,False,False,False,False,0,False,True,False
2095,L49274,1377,43.6,28,False,False,False,False,False,False,0,False,True,False
2096,L49275,1525,41.5,30,False,False,False,False,False,False,0,False,True,False
2097,M16956,1387,56.2,32,False,False,False,False,False,False,0,False,False,True
2098,M16957,1326,47.5,35,False,False,False,False,False,False,0,False,False,True
2099,L49278,1401,59.0,38,False,False,False,False,False,False,0,False,True,False
2100,L49279,1596,31.8,40,False,False,False,False,False,False,0,False,True,False
2101,M16960,1471,46.0,42,False,False,False,False,False,False,0,False,False,True
2102,L49281,1528,37.8,45,False,False,False,False,False,False,0,False,True,False
2103,L49282,1325,62.0,47,False,False,False,False,False,False,0,False,True,False
2104,M16963,1376,46.7,49,False,False,False,False,False,False,0,False,False,True
2105,M16964,1600,35.3,52,False,False,False,False,False,False,0,False,False,True
2106,L49285,1495,44.0,55,False,False,False,False,False,False,0,False,True,False
2107,L49286,1645,28.6,57,False,False,False,False,False,False,0,False,True,False
2108,M16967,1417,47.3,59,False,False,False,False,False,False,0,False,False,True
2109,H31522,1415,51.7,62,False,False,False,False,False,False,0,True,False,False
2110,M16969,1496,43.4,67,False,False,False,False,False,False,0,False,False,True
2111,H31524,1508,35.0,70,False,False,False,False,False,False,0,True,False,False
2112,L49291,1436,47.9,75,False,False,False,False,False,False,0,False,True,False
2113,L49292,1852,22.6,77,False,False,False,False,False,False,0,False,True,False
2114,L49293,1863,22.5,79,False,False,False,False,False,False,0,False,True,False
2115,H31528,1373,44.1,81,False,False,False,False,False,False,0,True,False,False
2116,L49295,1404,47.3,86,False,False,False,False,False,False,0,False,True,False
2117,M16976,1381,44.9,88,False,False,False,False,False,False,0,False,False,True
2118,H31531,1762,29.3,91,False,False,False,False,False,False,0,True,False,False
2119,H31532,1429,43.0,96,False,False,False,False,False,False,0,True,False,False
2120,M16979,1858,24.7,101,False,False,False,False,False,False,0,False,False,True
2121,H31534,1908,21.3,104,False,False,False,False,False,False,0,True,False,False
2122,M16981,1503,37.4,109,False,False,False,False,False,False,0,False,False,True
2123,M16982,1523,38.9,112,False,False,False,False,False,False,0,False,False,True
2124,L49303,1491,38.4,115,False,False,False,False,False,False,0,False,True,False
2125,L49304,1430,39.1,117,False,False,False,False,False,False,0,False,True,False
2127,L49306,1449,46.5,121,False,False,False,False,False,False,0,False,True,False
2128,H31541,1425,40.6,123,False,False,False,False,False,False,0,True,False,False
2129,L49308,1800,24.3,128,False,False,False,False,False,False,0,False,True,False
2130,H31543,1607,33.7,130,False,False,False,False,False,False,0,True,False,False
2131,L49310,1391,58.2,135,False,False,False,False,False,False,0,False,True,False
2132,L49311,1432,45.4,137,False,False,False,False,False,False,0,False,True,False
2133,L49312,1660,28.4,139,False,False,False,False,False,False,0,False,True,False
2134,H31547,1732,29.7,141,False,False,False,False,False,False,0,True,False,False
2135,L49314,1473,46.3,146,False,False,False,False,False,False,0,False,True,False
2136,L49315,1511,47.8,148,False,False,False,False,False,False,0,False,True,False
2137,L49316,1588,41.5,150,False,False,False,False,False,False,0,False,True,False
2138,L49317,1623,31.1,152,False,False,False,False,False,False,0,False,True,False
2139,L49318,1734,30.6,154,False,False,False,False,False,False,0,False,True,False
2140,L49319,1415,47.6,156,False,False,False,False,False,False,0,False,True,False
